item, lbound, ubound
barbie_doll, 0.6, 0.7
pencil, 0.0036, 0.19
couch, 90, 120
chair, 75, 100
ink_cartridge, 0.5, 2.5
monitor, 150, 200
coffee_capsule, 0.07, 0.11
jeans, 30, 50
pot, 1, 2
